communityname,state,population,householdsize,pctUrban,medIncome,pctWSocSec,pctWRetire,whitePerCap,blackPerCap,AsianPerCap,HispPerCap,PctPopUnderPov,PctNotHSGrad,PctUnemployed,TotalPctDiv,PersPerFam,PctWorkMom,NumImmig,PctImmigRecent,PctNotSpeakEnglWell,RentMedian,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,LandArea,PopDens,PctUsePubTrans,murders,robberies,assaults,burglaries,larcenies,autoTheft,arsons
Novatocity,CA,47585,2.61,100,45890,20.18,17.16,22257,13505,17100,12500,4.18,8.28,2.92,11.92,3.04,70.29,5431,14.97,1.81,742,0,2,11.41,48.93,28.6,1665.7,7.9,0,29,137,411,1190,136,16
Delhitownship,OH,30250,3.12,100,41726,25.8,17.68,14945,7313,7762,9064,3.6,17.66,2.94,5.73,3.42,74,759,11.73,0.53,345,0,0,2.51,82.6,10.4,2907.8,3.15,0,6,7,79,661,10,5
Cerritoscity,CA,53240,3.54,100,59076,11.24,10.19,21170,19411,16988,16965,3.95,10.78,3.67,6.83,3.7,71.48,19350,10.9,7.07,1001,0,0,36.34,40.82,8.9,5965.9,0.94,5,217,268,797,1807,906,24
Hillsboroughtownship,NJ,28808,2.86,60.22,59069,12.84,10.2,22650,21769,18989,20020,1.33,8.55,3.46,7.54,3.23,70.7,2388,7.71,0.99,700,0,0,8.29,55.42,56.6,508.5,3.13,0,9,1,105,323,18,1
CliffsideParkborough,NJ,20393,2.32,100,40600,31.84,15.66,24561,18303,20298,18551,4.63,24.95,5.86,8.39,2.91,55.05,6369,17.49,7.52,633,0,2,31.23,41.03,1,20417.5,20.74,0,6,17,64,231,56,0
DearbornHeightscity,MI,60838,2.6,100,36771,35.36,26.58,16606,7916,13401,12876,5.5,25.94,5.89,8.82,3.06,64.1,5638,6.33,1.63,471,0,0,9.27,72.83,12.1,5013,0.72,2,108,138,481,1926,350,3
Piedmontcity,CA,10602,2.82,100,84498,26.6,17.48,45553,26439,27934,51320,1.8,3.55,1.61,7.64,3.14,65.7,1234,5.27,1.56,1001,0,0,11.64,54.07,1.7,6079.1,9.17,0,10,6,125,265,54,11
Longmeadowtown,MA,15467,2.89,100,63203,27.51,17.94,29628,22442,18617,32406,2.25,5.98,3.51,4.64,3.12,65.74,1077,12.26,1.04,611,0,0,6.96,58.19,9.3,1655,0.26,0,1,3,41,260,11,3
Oaklandcity,CA,372242,2.58,100,27095,23.04,14.54,23461,10940,10285,8537,18.82,25.61,9.38,15.68,3.28,61.43,73524,18.96,8.74,486,431,303,19.75,45.34,58.1,6409.1,18.71,154,4559,4743,8355,18991,7772,401
FairLawnborough,NJ,30548,2.66,100,49658,35.92,19.93,22539,13942,20361,18964,2.94,18.7,3.76,5.63,3.06,66.31,5069,10.24,2.69,539,0,0,16.59,47.97,5.4,5702.7,10.35,0,13,12,97,444,49,1
LowerPaxtontownship,PA,39162,2.44,96.05,37783,21.51,19.16,18728,15063,18586,10586,2.8,12.58,2.06,9.87,2.93,72.41,871,11.6,0.26,457,0,0,2.23,80.02,29.1,1344.3,1.39,1,37,115,229,1143,38,4
FarmersBranchcity,TX,24250,2.76,100,38037,20.34,14.43,18645,8964,12006,7264,6.71,20.52,5.39,11.57,3.12,76.75,3290,18.6,5.91,474,0,0,13.57,50.94,12.4,1950,1.79,1,37,59,326,1030,238,6
Montvilletownship,NJ,15600,3.19,89.6,74825,21.51,15.54,30197,16468,26432,16910,0.79,11.91,4.7,5.23,3.38,61.85,1646,12.7,1.55,786,0,0,10.55,57.32,19.5,798.4,3.62,1,3,1,52,243,37,0
Towamencintownship,PA,14167,2.72,95.84,48547,21.28,12.86,19711,17055,13089,10243,2.75,12.43,2.64,8.09,3.27,69.74,676,13.91,1.22,538,0,0,4.77,69.51,10.1,1409.7,1.81,0,2,7,58,243,8,1
Shelbytownship,MI,48655,2.89,100,47930,18.12,15.23,19282,17683,22156,16764,2.81,16.76,5.15,7.26,3.27,67.28,3247,7.82,1.18,500,0,0,6.67,77.36,36,1352.1,0.18,1,9,64,204,1023,108,7
SouthHadleytown,MA,16685,2.84,97.23,38694,33.86,24.02,16610,17796,4583,7015,4.39,16.6,3.37,7.75,3.01,75.28,874,26.43,0.76,465,0,0,5.24,70.94,18.3,909.6,0.9,0,7,26,36,177,40,0
Mercedescity,TX,12694,3.53,0,12908,30.16,10.37,5472,0,11457,4472,48.82,58.05,17.42,9.12,3.99,48.99,2298,13.14,16.85,144,0,0,18.1,69.14,7.7,1656.3,0,1,6,169,166,164,47,4
CedarHillcity,TX,19976,3.04,100,41457,10.01,7.16,15819,13155,9818,11152,3.72,13.87,3.61,9.55,3.3,76.65,630,13.33,1.3,466,0,0,3.15,63.48,34.8,573.3,1.02,1,6,16,194,533,62,3
TexasCitycity,TX,40822,2.7,98.65,26144,25.88,16.27,13450,8125,12073,8838,16.76,28.58,8.15,15.11,3.18,64.79,1398,10.59,1.66,296,0,13,3.42,72.96,64.3,634.4,0.09,4,109,144,674,2565,381,40
WestCovinacity,CA,96086,3.19,100,42481,19.2,14.11,17714,13873,13918,12532,7.71,19.41,4.96,11.15,3.51,65.64,24291,14.71,5.81,672,0,0,25.28,49.54,16.8,5724.9,3.13,5,276,350,1017,3195,1391,85
Pleasantoncity,CA,50553,2.73,100,59458,11.96,11.76,25089,19410,23598,18337,2.41,7,3.06,10.53,3.11,70.94,3758,10.35,0.78,760,0,1,7.43,51.6,16.8,3009.8,1.65,0,22,58,346,1533,143,12
EastGrandRapidscity,MI,10807,2.86,100,60355,23.23,12.85,29342,18856,25225,13736,2.56,3.52,2.1,7.14,3.22,64.58,326,9.51,0.32,539,0,0,3.02,65.41,3,3564.3,0.9,0,2,3,26,221,8,2
Norwalkcity,OH,14731,2.6,0,25587,27.48,17.28,12421,7728,4759,5229,10.3,26.39,7.78,12.41,3.1,72.63,194,3.09,0.33,270,4,0,1.32,79.29,8.2,1787,0.11,0,1,0,43,317,1,0
Hamiltoncity,OH,61368,2.56,100,22886,30.75,18.67,11552,5988,8027,5917,16.84,33.44,7.94,14.36,3.07,64.81,406,17.49,0.25,286,73,0,0.66,72.06,20.7,2966.4,1.53,6,246,601,1152,2889,398,49
Harwichtown,MA,10275,2.28,0,28259,45.26,31.37,15224,4251,12650,13456,5.57,12.19,8.97,8.05,2.76,65.03,382,14.4,0.59,527,0,0,3.72,63.78,21.8,471.5,0.45,0,5,34,79,208,8,1
MenloParkcity,CA,28040,2.37,100,50468,28.2,15.74,34463,9519,21376,9446,6.47,10.33,3.23,12.85,2.93,67.51,4492,15.27,2.5,803,101,18,16.04,39.95,10.4,2689.9,3.66,2,68,101,298,887,83,9
Kilgorecity,TX,11066,2.54,0,24644,36.45,17,13832,5209,0,8285,13.89,27.01,7.02,11.52,3.02,67.33,277,21.66,1.8,265,0,0,2.49,70.52,12.4,895.6,0,1,21,82,264,892,97,4
Glassboroborough,NJ,15614,3.11,100,34218,26.38,19.59,13844,8091,7793,8773,14.31,24,8.11,8.77,3.2,67.14,612,10.62,0.87,428,7,0,3.92,57.29,9.5,1635.9,2.53,0,23,33,182,667,42,6
SanJuancity,TX,10815,3.88,100,14292,27.55,6.24,6504,8703,0,5605,38.95,59.32,13.29,7.33,4.11,55.71,2821,11.34,22.13,177,0,0,26.08,64.13,3.8,2846.1,1.47,1,8,29,233,359,70,2
Swampscotttown,MA,13650,2.59,100,50191,30.31,17.76,25657,54000,10407,16576,3.87,8.37,4.36,6.45,3.01,66.1,1111,13.86,0.69,720,0,0,8.14,73.68,3.2,4320.7,9.65,0,4,10,198,230,26,1
LosGatostown,CA,27357,2.43,100,57815,19.54,13.72,33986,17809,34017,27797,4.65,6.46,2.92,13.71,2.88,64.97,2991,13.07,0.89,800,0,1,10.93,48.96,10.8,2544.4,1.27,0,12,62,253,640,56,19
Denisoncity,TX,21505,2.47,100,21949,36.26,14.36,11373,7197,3456,10896,15.37,33.1,7.26,13.51,2.99,73.21,357,14.57,0.56,257,12,0,1.66,65.54,22.9,940.1,0,2,27,138,258,1228,58,13
Bakersfieldcity,CA,174820,2.8,99.61,32154,20,12.66,16203,7977,14488,8548,15,22.23,7.1,14.05,3.26,62.77,13900,13.19,3.44,389,349,31,7.95,59.87,95.1,1837.3,1.24,27,568,1237,3650,8498,1595,113
Newarkcity,NJ,275221,3.01,100,21650,24.5,10.53,11412,8870,11532,7853,26.34,48.79,14.71,14,3.55,59.85,51423,16.95,11.03,385,1974,842,18.68,50.58,24.7,11153.6,24.89,96,5892,3977,6879,10420,10993,184
EastOrangecity,NJ,73552,2.7,100,26810,24.96,12.17,15147,12181,20073,9709,17.71,30.7,11.76,17.06,3.42,71.9,9535,15.53,2.08,478,340,20,12.96,54.17,4.1,18091.3,25.57,15,1129,922,1732,1944,1475,97
Baytowncity,TX,63850,2.85,100,30151,22.05,13.39,14935,7787,34110,6763,16.08,28.77,7.87,12.82,3.32,56.62,6308,12.11,4.62,307,17,20,9.88,64.9,32.4,1969.2,0.17,10,106,227,754,2898,513,18
Metuchenborough,NJ,12804,2.59,100,53226,29.11,18.08,23987,17303,16540,15989,2.9,14.54,3.14,7.56,3.06,67.34,1185,7.85,1.17,597,0,0,9.25,58.33,2.8,4511,11.91,0,12,12,88,232,30,3
Kentcity,OH,28835,3.27,100,21463,18.66,13.52,9562,5231,7793,6044,27.49,14.11,6.9,7.65,3,61.21,1376,30.74,0.68,339,10,0,4.77,72.08,9,3194.9,3.15,0,26,78,194,743,66,10
Cypresscity,CA,42655,2.99,100,50981,17.98,15.41,20032,14246,16648,13311,4.46,12.49,4.48,11.18,3.3,72.04,6587,13.3,3.58,722,0,0,15.44,49.54,6.9,6221.6,0.58,1,57,84,423,1262,348,16
Westfieldcity,MA,38372,2.78,100,33498,29.8,18.47,14391,9591,9401,7122,8,21.26,5.15,8.87,3.1,69.05,1575,20.25,1.64,450,40,0,4.1,74.45,48.3,795,1.16,0,14,315,292,697,108,8
Cadillaccity,MI,10104,2.53,0,21170,33.35,20.12,11372,1200,4892,176,15.52,24.69,12.11,13.6,3.06,70.18,152,10.53,0.32,291,0,0,1.5,84.83,6.9,1458.4,0.21,1,2,24,69,532,17,3
Arlingtontown,MA,44630,2.37,100,43309,29.27,19.16,21476,13865,23386,19522,4.63,11.49,4.47,7,3,70.17,5344,15.92,1.5,691,0,0,11.97,66.27,5.4,8311,16.77,1,11,72,166,357,97,3
PaloAltocity,CA,55900,2.31,99.36,55333,23.65,16.09,34296,23305,22879,19337,4.65,5.27,2.4,12.24,2.84,69.06,10097,22.7,2.06,825,13,11,18.06,36.22,24.5,2278.3,2.64,0,61,66,487,2596,188,15
Spartatownship,NJ,15157,2.92,0,63032,17.95,14.69,24585,73636,19193,22111,1.9,6.87,3.85,6.44,3.26,61.02,747,4.15,0.35,678,0,0,4.92,56.03,38.7,391.2,3.11,0,1,7,39,160,12,1
DeerParkcity,TX,27652,3.13,100,46199,13.68,10.43,16075,8691,9247,10920,5.17,15.69,5.29,10.24,3.36,66.53,835,7.66,0.87,372,0,0,3.02,68.73,10.7,2574.7,0.05,0,8,55,210,397,40,1
Newberrytownship,PA,12003,2.77,0,35005,15.87,13.44,13544,24509,7405,9308,2.7,22.42,2.96,10.04,3.12,78.44,142,5.63,0.39,322,0,0,1.18,83.61,31.5,380.8,0.06,0,0,4,95,191,11,1
SouthElMontecity,CA,20850,4.37,100,27074,17.9,9.78,8582,3516,10476,7183,21.19,63.37,11.49,8.95,4.48,53.29,9613,15.22,26.89,539,0,81,46.11,43.96,3,6959.3,4.9,4,109,217,286,375,240,11
Stephenvillecity,TX,13502,2.45,0,18346,29.55,16.68,11140,5622,8000,6252,22.14,23.7,7.18,9.27,2.95,61.19,324,9.88,1.22,267,0,0,2.38,80.95,8.4,1605.9,0,0,3,5,132,546,10,1
Cudahycity,CA,22817,4.34,100,22279,13.73,6.34,7144,6403,8890,5507,27.54,68.7,10.24,10.66,4.53,45.04,12603,17.7,31.26,560,0,0,55.24,35.12,1.1,20014.9,8.95,3,69,290,144,319,162,6
Lincolntownship,MI,13604,2.6,88.61,37771,24.72,14.84,16138,14985,21939,17003,3.48,15.01,3.6,8.84,3.06,71.03,455,4.4,0.52,380,0,0,3.34,62.38,18.6,732.3,0,0,0,26,62,305,9,2
Albanycity,CA,16327,2.27,100,34836,21.75,14.16,20214,17108,12484,11871,9.59,8.15,2.96,13.27,2.84,69.43,4112,27.04,4.52,608,0,0,25.19,42.76,1.8,9255.7,17.5,1,42,58,124,467,91,0
Ewingtownship,NJ,34185,2.82,100,43191,34.03,23.96,19065,13723,30743,10064,3.31,20.69,3.82,8,3.02,76.29,1956,6.6,0.73,543,0,0,5.72,65.68,15.9,2151.6,2.36,2,38,25,220,1027,514,18
LaMiradacity,CA,40452,3.18,100,47143,26.41,20.19,17025,11496,14966,13477,3.89,18.94,4.57,8.89,3.38,68.27,6418,12.62,3.7,699,0,0,15.87,53.09,8.1,4974.4,0.77,2,83,209,404,696,351,11
Swataratownship,PA,19661,2.58,100,33817,28.9,23.75,14957,12362,12549,12523,6.6,23.65,3.75,10.31,2.95,75.62,688,3.34,0.5,368,0,0,3.5,82.5,13.7,1435.5,2.48,0,24,73,187,1064,87,3
Totowaborough,NJ,10177,2.94,100,46309,36.13,20.43,18057,1440,20438,14602,3.09,31.91,3.91,5.82,3.15,67.2,1282,4.13,2.34,618,0,0,12.6,74.74,4.1,2458.9,2.17,0,6,12,54,374,83,1
WestCaldwelltownship,NJ,10422,2.94,100,65920,28.23,18.07,25464,28033,22561,21588,1.01,11.35,2.03,4.75,3.2,68.1,885,7.23,1.49,750,0,0,8.49,69.4,5.2,1992.3,4.88,0,5,4,27,213,22,0
Troycity,MI,72884,2.79,100,55407,18.72,13.48,23382,23621,21518,16200,2.83,11.07,3.19,7.13,3.29,63.92,8465,14.09,1.56,584,0,0,11.61,65.61,34.7,2098,0.16,1,28,185,477,2572,335,17
Danvillecity,CA,31306,2.83,100,74472,16.55,14.74,31909,27799,24156,26835,2.1,4.27,2.41,8.44,3.09,65.02,2851,4.14,0.59,999,0,0,9.11,49.55,18.3,1708.1,4.05,1,5,3,156,504,18,9
Centervillecity,OH,21082,2.53,100,45424,22.22,19.72,21814,17153,23487,16675,3.74,7.79,2.44,8.2,2.94,70.65,828,13.04,0.6,450,0,0,3.93,60.31,9.3,2274.5,1.39,0,7,13,134,525,35,5
Rostravertownship,PA,11224,2.6,57.58,25615,36.98,26.3,11671,9055,0,8723,10.86,22.71,10.57,7.67,3.01,60.84,80,0,0.34,222,0,0,0.71,91.42,33.3,336.8,0.97,0,2,5,42,308,43,1
Lyndhursttownship,NJ,18262,2.55,100,41000,37.57,20.67,17927,18659,12445,18015,3.87,29.89,4.55,7.42,3.08,64.16,2073,9.02,2.4,559,0,0,11.35,72.26,4.8,3792.6,8.37,0,10,18,88,440,136,3
Somervillecity,MA,76210,2.51,100,32455,24.83,14.54,15596,12581,12178,10332,11.47,24.82,6.33,8.04,3.1,68.15,16975,20.67,6.54,591,54,1,22.27,54.68,4.3,17893,27.93,0,123,40,604,948,761,8
NorthBergentownship,NJ,48414,2.55,100,33488,29.24,12.94,16245,17778,12928,13292,9.49,35.46,7.69,10.91,3.18,65.18,18914,10.47,14.76,461,24,1,39.07,40.95,5.4,8999.6,21.37,2,80,57,508,1004,560,4
Bloomfieldtownship,MI,42473,2.7,100,84441,21.59,16.43,46066,43138,37973,29406,1.42,4.35,2.08,5.61,3.03,58.4,4726,13.69,1.18,647,0,0,11.14,59.04,25.9,1642.9,0.28,0,20,55,190,992,96,12
Marshallcity,TX,23682,2.75,0,19077,33.94,13.6,13055,5712,8217,5628,25.49,31.7,8.43,12.48,3.19,69.15,389,19.28,1.04,230,35,0,1.64,76.57,24.9,952.2,0.06,7,36,162,368,1249,98,10
Killeencity,TX,63535,2.73,100,22468,10.15,15.7,10971,8073,6075,7172,14.5,14.16,9.52,11.39,3.16,63.75,5394,14.53,1.62,313,19,6,8.49,30.88,28.7,2215.9,0.09,6,223,224,1142,2800,283,136
Clintontownship,MI,85866,2.65,100,39215,23.35,17.47,17117,10078,15703,13641,5.65,19.85,6.03,10.03,3.14,64.9,5240,6.07,1.1,435,12,0,6.1,80.16,29.2,2939.4,0.55,0,64,240,486,2193,295,12
Friendswoodcity,TX,22814,2.94,100,50492,13.55,12.6,20671,16936,20990,15611,2.94,7.43,3.72,9.3,3.26,67.99,971,6.39,0.88,477,0,0,4.25,54.63,21.5,1061.7,0.85,1,9,37,110,410,35,4
SanGabrielcity,CA,37120,3.04,100,32559,23.06,12.92,17313,11260,10702,10416,15.17,29.14,6.15,10.09,3.47,60.21,15840,20.21,17.14,620,0,0,42.67,40.75,4.3,8664.8,4.86,4,164,132,448,605,271,9
SanLuisObispocity,CA,41958,2.48,100,25982,22.18,15.36,15394,8508,11645,8741,27.39,11.01,5.68,8.96,2.82,70.33,3616,17.39,1.64,546,116,1,8.62,59.95,9.6,4363.4,2.03,0,32,196,368,1429,110,48
Bedfordcity,TX,43762,2.49,100,42453,10.01,9.09,19999,16507,21132,13360,3.56,7.02,3.53,13.03,3.07,73.33,1782,19.42,0.71,396,0,0,4.07,45.64,10.4,4219.2,0.03,0,23,47,300,1148,103,4
BigRapidscity,MI,12603,3.87,0,14990,23.3,11.65,7622,3823,5861,3072,44.45,17.72,11.35,4.9,2.94,67.97,404,41.34,0.4,318,0,0,3.21,81.26,6.2,2044.6,0.34,0,9,27,94,467,8,3
Grovescity,TX,16513,2.64,100,31053,31.78,20.02,13902,10204,4048,8727,8.58,19.02,4.93,9.62,3.02,59.72,295,7.12,0.94,292,0,0,1.79,73.78,5.4,3058,0,0,14,11,180,624,59,4
Longviewcity,TX,70311,2.58,100,25377,26.26,12.57,14591,6748,10514,5328,16.98,22.56,7.22,13.45,3.08,65.73,1694,18.89,1.09,274,42,9,2.41,66.9,54.2,1297.6,0.13,10,198,341,1317,3669,539,22
RoundRockcity,TX,30923,2.93,0,33228,11.4,9.1,13382,9410,17843,8391,9.05,14.97,4.03,12.22,3.32,76.61,1410,8.37,2.39,346,0,0,4.56,60.11,19.8,1561.8,0.22,1,15,40,214,1033,90,6
Northvilletownship,MI,17313,2.82,96.23,55465,20.57,18.12,25265,3097,25581,14789,1.58,10.94,3.19,10.29,3.01,64.08,1041,13.83,0.96,596,0,0,6.01,71.28,17,1015.5,0.3,0,3,7,71,413,25,2
Hendersoncity,TX,11139,2.6,0,23238,37.42,15.99,13320,4939,7273,5711,20.24,33.75,7.72,10.26,3.1,70.05,310,26.77,1.58,228,0,0,2.78,81.43,11.3,985.4,0.17,2,24,256,251,725,148,0
Bethlehemtownship,PA,16425,2.87,90.09,42235,25.15,22.17,17576,10663,32244,13348,2.88,18.25,2.87,6.28,3.15,71.38,624,1.12,0.71,421,0,0,3.8,70.18,15.1,1087.2,0.42,0,4,9,29,405,12,1
WestWindsortownship,NJ,16021,2.99,0,76907,11.58,8.49,32707,14091,22192,18800,3.32,6,2.85,4.41,3.34,59.41,2438,14.85,2.11,776,5,0,15.22,32.53,26.9,594.6,17.87,1,7,8,43,270,122,0
SantaBarbaracity,CA,85571,2.49,100,33667,27.32,14.9,21781,11372,15436,8412,12.68,20.9,4.6,13.64,3.04,68.78,19281,22.05,9.09,670,314,46,22.53,42.42,19.6,4371.2,3.95,5,159,463,938,3317,226,18
Moorparkcity,CA,25494,3.35,100,60368,10.3,8.55,20528,21398,20585,11445,4.29,14.67,3.58,8.04,3.57,67.88,3914,11.5,5.43,866,0,0,15.35,54.22,12.7,2007.4,0.23,1,12,53,159,239,44,8
WestOrangetownship,NJ,39103,2.64,100,49777,31.68,16.47,26585,21118,16195,12753,4.14,16.83,4.03,6.95,3.11,65.83,6245,12.47,3.45,619,25,0,15.97,60.57,12.6,3115.4,7.75,0,65,48,301,795,450,1
Madisonborough,NJ,15850,2.94,100,56478,25.21,18.17,29890,13862,14133,10785,3.74,12.51,3.51,6.2,3,60.69,1683,11.29,2.27,739,12,0,10.62,50.61,4.3,3651.4,7.11,0,4,4,33,203,19,0
Brooklinetown,MA,54718,2.25,100,45598,23.21,10.91,30836,19262,16819,11827,8.61,6.82,4.8,8.56,2.9,71.24,11703,28.28,3.08,629,16,0,21.39,41.54,7,7778.6,28.71,1,72,187,372,1379,352,4
Scituatetown,MA,16786,2.78,84.67,52044,26.04,20.39,22424,11165,17106,14810,3.91,6.75,4.75,8,3.2,67.31,628,14.81,0.61,569,3,0,3.74,75.1,17.8,942.9,5.38,0,1,5,62,134,15,11
BellGardenscity,CA,42355,4.58,100,23819,13.89,8.47,6998,5121,4820,5672,26.08,73.66,13.37,9.28,4.64,47.29,22068,17.75,30.37,542,0,0,52.1,38.62,2.6,16265.4,6.68,8,214,327,669,562,393,10
Lufkincity,TX,30206,2.69,0,22357,30.15,14.47,15518,6405,32622,9308,20.94,31.05,6.37,12.84,3.2,69.31,1576,15.93,2.23,274,39,0,5.22,79.43,24.4,1236.1,0.41,6,53,190,465,1418,147,5
EastWindsortownship,NJ,22353,2.61,0,49849,15.2,9.86,21860,17030,19077,13926,2.82,9.24,3.37,9.55,3.13,67,2372,12.77,1.28,631,14,0,10.61,39.61,16.2,1378.1,9.47,0,6,14,87,324,29,0
FountainValleycity,CA,53691,3.08,100,56255,15.16,13.08,21973,21896,16238,14950,3.54,11.27,3.96,9.69,3.37,68.02,10439,10.59,4.14,846,0,3,19.44,43.27,9.2,5813.2,0.95,3,88,57,394,1971,387,9
Kingstonborough,PA,14507,2.32,100,25482,40.45,18.71,15381,471,21299,10741,9.08,20.25,4.06,8.61,2.99,64.1,368,8.15,0.67,296,0,0,2.54,84.57,2.2,6527.6,1.72,0,4,11,33,367,17,10
Gilroycity,CA,31487,3.31,0,40955,18.53,11.92,16300,13170,16256,8805,12.9,31.55,7.82,11.57,3.61,68.1,4883,14.46,7.91,604,94,2,15.51,59.99,10.6,2962.6,1.37,2,40,216,406,1223,133,78
Bristolborough,PA,10405,2.63,100,26265,37.7,19,12365,8148,15175,8533,10.36,37.82,8.35,11.29,3.27,67.58,260,1.92,2.15,384,0,0,2.5,76.77,1.8,5793.4,3.07,0,27,61,59,327,66,9
Muskegoncity,MI,40283,2.73,100,18748,34.85,18.32,10309,5610,3994,5354,26.51,31.31,11.24,16.25,3.11,61.28,607,13.34,0.73,289,61,2,1.51,78.17,14.9,2704.3,1.17,3,142,451,1139,2920,295,25
FortLeeborough,NJ,31997,2.1,100,46395,30.35,13.67,34683,23706,22487,17705,5.99,15.14,4.77,9.25,2.8,46.85,11230,32.94,10.01,702,0,0,35.1,23.58,2.6,12212.6,20.57,2,52,79,451,514,124,0
Summittownship,MI,21130,2.63,84.78,35151,30.99,20.97,16548,14600,78927,9798,6.61,15.89,5.11,9.68,3.01,70.42,464,8.62,0.28,385,12,0,2.2,77.32,30.4,695.4,0.14,0,6,27,58,218,17,1
NorthRichlandHillscity,TX,45895,2.72,100,38354,14.55,10.75,16174,10480,15330,12477,5.05,13.58,4.38,11.78,3.11,74.96,1536,12.04,0.97,400,0,0,3.35,60.33,18.9,2430.4,0.08,0,44,78,389,1669,229,5
Wataugacity,TX,20009,3.22,100,41096,8.2,7.13,13499,18279,8814,11213,2.07,15.09,3.25,9.07,3.44,72.68,815,8.47,1.2,528,0,0,4.07,61.12,4.2,4728,0,0,17,16,106,380,22,0
Gloucestercity,MA,28716,2.48,100,32690,29.54,15.11,16079,6224,12132,20780,7.53,24.44,6.75,10.9,3.04,70.17,1748,4.06,1.77,501,45,0,6.09,77.67,26.9,1067.4,2.73,0,4,342,211,476,83,0
Claremontcity,CA,32503,3.1,100,53479,22.89,19.64,23521,20713,14436,12466,5.28,7.2,4.22,8.53,3.13,72.08,3961,11.03,1.41,631,0,0,12.19,43.01,11.4,2850.1,0.72,3,55,60,438,1086,240,13
Brooklyncity,OH,11706,2.27,100,26818,39.65,25.99,13794,10143,18129,12988,5.48,29.39,4.01,9.28,2.87,65.98,1009,2.58,1.3,351,0,0,8.62,73.92,4.4,2638.6,4.17,0,11,0,10,309,89,1
MountMorristownship,MI,25198,2.82,80.26,26634,24.69,21.09,12539,9542,5929,7309,23.38,28.86,14.01,13.7,3.21,59.12,400,2,0.51,308,0,0,1.59,73.72,32.5,774.3,0.91,1,70,138,390,709,203,16
Cantoncity,OH,84161,2.52,100,19807,32.7,19.92,10800,7349,12273,13853,21.86,32.97,11.23,15.06,3.08,59.38,1881,7.18,0.79,233,38,0,2.24,78.22,21,4017,2.45,11,537,405,1700,3910,635,76
Amherstcity,OH,10332,2.74,100,37695,28.09,21.78,15253,3792,22253,10506,4.52,20.82,4.96,7.56,3.11,72.09,357,1.68,0.4,311,0,0,3.46,74.18,7.3,1417.6,0.15,0,8,0,28,323,12,1
SierraMadrecity,CA,10762,2.32,100,46502,24.66,14.38,24890,20891,31842,14719,5.24,8.03,2.43,13.05,2.9,63.85,956,10.67,1.22,640,0,0,8.88,54.34,3.1,3458.2,1.69,1,2,13,43,90,23,1
UpperAllentownship,PA,13347,3.01,89.11,43598,24.02,18.07,17885,9219,10140,6256,1.75,10.82,3.42,6.14,2.99,74.25,444,16.22,0.49,432,0,0,3.33,65.42,13.7,973,0.58,0,0,9,28,165,3,0
Sangercity,CA,16839,3.48,0,24470,27.39,11.75,10729,5071,14810,6455,21.04,50.77,15.72,9.8,3.76,68.18,3965,13.77,18.13,325,0,0,23.55,57.15,4.8,3528.7,0,0,8,126,268,453,105,9
PleasantHillcity,CA,31585,2.43,100,46885,20.94,16.51,22457,21723,18600,17071,3.63,7.6,3.2,13.96,2.93,72.29,3461,13.72,1.55,696,3,22,10.96,52.54,7,4489.1,10.45,0,58,109,415,1266,147,9
Pottsvillecity,PA,16603,2.46,0,21135,40.4,16.73,11478,5423,41482,14174,15.36,30.52,7.2,10.15,3.08,67.46,250,0,0.21,232,0,1,1.51,91.93,4.4,3811.2,0.82,0,3,14,57,248,12,0
ElCentrocity,CA,31384,3.26,0,25147,22.16,12.04,12234,7638,10858,6357,23.25,40.47,13.9,11.32,3.69,54.55,9171,13.76,15,350,53,0,29.22,49.48,6.5,4849.2,0.6,1,82,160,818,1695,279,24
WestGoshentownship,PA,18082,2.79,99.87,51265,19.83,12.47,20897,16218,15984,14698,1.98,10.41,2.23,6.97,3.19,73.85,654,21.87,0.38,550,0,0,3.62,70.08,12.3,1464.3,2.69,0,4,34,54,440,52,1
Angletoncity,TX,17140,2.88,0,32098,19.35,12.6,14243,8384,14897,8418,9.65,19.53,5.2,11.59,3.29,71.1,418,10.29,1.95,297,0,0,2.44,74.21,10.1,1703.8,0,1,19,69,156,572,50,4
Pacificacity,CA,37670,2.82,100,47533,17.45,13.55,19583,14550,15490,14932,4.52,13.45,3.35,11.75,3.24,75.09,5527,8.3,1.9,749,3,0,14.67,59.21,13.1,2877.3,8.6,2,21,213,166,631,97,13
Wyandottecity,MI,30938,2.51,100,28312,35.4,24.32,13268,10055,9421,6856,9.73,31.07,8.07,12.12,3.09,63.3,1202,0.5,0.66,347,0,0,3.89,77.77,5.5,5625.1,1.75,0,17,27,102,684,80,0
Bellevilletownship,NJ,34213,2.56,100,38507,29.24,17.61,17322,13605,15290,14314,5.19,28.98,5.16,8.82,3.13,64.21,5177,7.8,4.19,551,0,0,15.13,69.88,3.5,9872.2,8.86,1,61,103,322,623,464,9
Youngstowncity,OH,95706,2.58,100,17060,38.24,24.21,10106,6316,3993,5637,29.04,34.39,15.6,13.89,3.13,53.82,2869,5.09,1.37,204,113,0,3,73.15,34.8,2747.9,2.43,47,771,1223,2041,2637,1343,278
Phillipsburgtown,NJ,15757,2.55,100,27289,36.44,20.44,12308,10462,11297,10596,10.88,33.88,6.47,11.38,3.1,69.46,501,5.19,0.95,433,12,1,3.18,61.75,3.3,4716,1.19,0,4,34,81,230,15,2
