title,award_class,award_category,name
Gigi,Music,MUSIC (Original Song Score or Adaptation Score),Andre Previn
Gigi,Music,MUSIC (Original Song),Music by Frederick Loewe; Lyrics by Alan Jay Lerner
Gigi,Title,BEST PICTURE,"Arthur Freed, Producer"
Gigi,Writing,WRITING (Adapted Screenplay),Alan Jay Lerner
"Girl, Interrupted",Acting,ACTRESS IN A SUPPORTING ROLE,Angelina Jolie
Giuseppina,Title,DOCUMENTARY (Short Subject),"James Hill, Producer"
Give Me Liberty,Title,SHORT SUBJECT (Color),Warner Bros.
Gladiator,Acting,ACTOR IN A LEADING ROLE,Russell Crowe
Gladiator,Production,COSTUME DESIGN,Janty Yates
Gladiator,Title,BEST PICTURE,"Douglas Wick, David Franzoni and Branko Lustig, Producers"
Gladiator,Production,SOUND,"Scott Millan, Bob Beemer, Ken Weston"
Gladiator,Production,VISUAL EFFECTS,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey"
Glass,Title,DOCUMENTARY (Short Subject),"Bert Haanstra, Producer"
Glory,Acting,ACTOR IN A SUPPORTING ROLE,Denzel Washington
Glory,Production,CINEMATOGRAPHY,Freddie Francis
Glory,Production,SOUND,"Donald O. Mitchell, Gregg C. Rudloff, Elliot Tyson, Russell Williams II"
God of Love,Title,SHORT FILM (Live Action),Luke Matheny
Gods and Monsters,Writing,WRITING (Adapted Screenplay),Bill Condon
Godzilla Minus One,Production,VISUAL EFFECTS,"Takashi Yamazaki, Kiyoko Shibuya, Masaki Takahashi and Tatsuji Nojima"
Going My Way,Acting,ACTOR,Bing Crosby
Going My Way,Acting,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald
Going My Way,Directing,DIRECTING,Leo McCarey
Going My Way,Music,MUSIC (Original Song),Music by James Van Heusen; Lyrics by Johnny Burke
Going My Way,Title,BEST PICTURE,Paramount
Going My Way,Writing,WRITING (Original Story),Leo McCarey
Going My Way,Writing,WRITING (Screenplay),"Frank Butler, Frank Cavett"
Gold Diggers of 1935,Music,MUSIC (Original Song),Music by Harry Warren; Lyrics by Al Dubin
Goldfinger,Production,SOUND EDITING,Norman Wanstall
Gone with the Wind,Acting,ACTRESS,Vivien Leigh
Gone with the Wind,Acting,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel
Gone with the Wind,Production,ART DIRECTION,Lyle Wheeler
Gone with the Wind,Production,CINEMATOGRAPHY (Color),"Ernest Haller, Ray Rennahan"
Gone with the Wind,Directing,DIRECTING,Victor Fleming
Gone with the Wind,Production,FILM EDITING,"Hal C. Kern, James E. Newcom"
Gone with the Wind,Title,BEST PICTURE,Selznick International Pictures
Gone with the Wind,Writing,WRITING (Screenplay),Sidney Howard
Good Fellas,Acting,ACTOR IN A SUPPORTING ROLE,Joe Pesci
Good Will Hunting,Acting,ACTOR IN A SUPPORTING ROLE,Robin Williams
Good Will Hunting,Writing,WRITING (Original Screenplay),"Ben Affleck, Matt Damon"
Good-bye Miss Turlock,Title,SHORT SUBJECT (One-reel),"Herbert Moulton, Producer"
"Goodbye, Mr. Chips",Acting,ACTOR,Robert Donat
Gosford Park,Writing,WRITING (Original Screenplay),Written by Julian Fellowes
Grand Canyon,Title,SHORT FILM (Live Action),"Walt Disney, Producer"
Grand Hotel,Title,BEST PICTURE,Metro-Goldwyn-Mayer
Grand Prix,Production,FILM EDITING,"Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo"
Grand Prix,Production,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
Grand Prix,Production,SOUND EDITING,Gordon Daniel
Grandad of Races,Title,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer"
Gravity,Production,CINEMATOGRAPHY,Emmanuel Lubezki
Gravity,Directing,DIRECTING,Alfonso Cuarón
Gravity,Production,FILM EDITING,Alfonso Cuarón and Mark Sanger
Gravity,Music,MUSIC (Original Score),Steven Price
Gravity,Production,SOUND EDITING,Glenn Freemantle
Gravity,Production,SOUND MIXING,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro"
Gravity,Production,VISUAL EFFECTS,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould"
Gravity Is My Enemy,Title,DOCUMENTARY (Short Subject),"John Joseph and Jan Stussy, Producers"
Great,Title,SHORT FILM (Animated),"Bob Godfrey, Producer"
Great Expectations,Production,ART DIRECTION (Black-and-White),Art Direction: John Bryan; Set Decoration: Wilfred Shingleton
Great Expectations,Production,CINEMATOGRAPHY (Black-and-White),Guy Green
Green Book,Acting,ACTOR IN A SUPPORTING ROLE,Mahershala Ali
Green Book,Title,BEST PICTURE,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers"
Green Book,Writing,WRITING (Original Screenplay),"Written by Nick Vallelonga, Brian Currie, Peter Farrelly"
Green Dolphin Street,Production,VISUAL EFFECTS,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore"
Guess Who's Coming to Dinner,Acting,ACTRESS,Katharine Hepburn
Guess Who's Coming to Dinner,Writing,WRITING (Original Screenplay),William Rose
Guillermo del Toro's Pinocchio,Title,ANIMATED FEATURE FILM,"Guillermo del Toro, Mark Gustafson, Gary Ungar and Alex Bulkley"
Hacksaw Ridge,Production,FILM EDITING,John Gilbert
Hacksaw Ridge,Production,SOUND MIXING,"Kevin O'Connell, Andy Wright, Robert Mackenzie and Peter Grace"
Hair Love,Title,SHORT FILM (Animated),Matthew A. Cherry and Karen Rupert Toliver
Hamlet,Acting,ACTOR,Laurence Olivier
Hamlet,Production,ART DIRECTION (Black-and-White),Art Direction: Roger K. Furse; Set Decoration: Carmen Dillon
Hamlet,Production,COSTUME DESIGN (Black-and-White),Roger K. Furse
Hamlet,Title,BEST PICTURE,J. Arthur Rank-Two Cities Films
Hannah and Her Sisters,Acting,ACTOR IN A SUPPORTING ROLE,Michael Caine
Hannah and Her Sisters,Acting,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest
Hannah and Her Sisters,Writing,WRITING (Original Screenplay),Woody Allen
Happy Feet,Title,ANIMATED FEATURE FILM,George Miller
"Harlan County, U.S.A.",Title,DOCUMENTARY (Feature),"Barbara Kopple, Producer"
Harry and Tonto,Acting,ACTOR,Art Carney
Harry and the Hendersons,Production,MAKEUP AND HAIRSTYLING,Rick Baker
Harvey,Acting,ACTRESS IN A SUPPORTING ROLE,Josephine Hull
Harvie Krumpet,Title,SHORT FILM (Animated),Adam Elliot
He Makes Me Feel Like Dancin',Title,DOCUMENTARY (Feature),"Emile Ardolino, Producer"
Hearts and Minds,Title,DOCUMENTARY (Feature),"Peter Davis and Bert Schneider, Producers"
Heaven Can Wait,Production,ART DIRECTION,"Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines"
Heaven Is a Traffic Jam on the 405,Title,DOCUMENTARY (Short Subject),Frank Stiefel
Heavenly Music,Title,SHORT SUBJECT (Two-reel),"Jerry Bresler and Sam Coslow, Producers"
Helen Keller in Her Story,Title,DOCUMENTARY (Feature),"Nancy Hamilton, Producer"
Helium,Title,SHORT FILM (Live Action),Anders Walter and Kim Magnusson
"Hello, Dolly!",Production,ART DIRECTION,"Art Direction: John DeCuir, Jack Martin Smith, Herman Blumenthal; Set Decoration: Walter M. Scott, George Hopkins, Raphael Bretton"
"Hello, Dolly!",Music,MUSIC (Original Song Score or Adaptation Score),Adaptation score by Lennie Hayton and Lionel Newman
"Hello, Dolly!",Production,SOUND,"Jack Solomon, Murray Spivack"
"Hello, Frisco, Hello",Music,MUSIC (Original Song),Music by Harry Warren; Lyrics by Mack Gordon
Henry V,Special,SPECIAL AWARD,NA
Henry V,Production,COSTUME DESIGN,Phyllis Dalton
Her,Writing,WRITING (Original Screenplay),Written by Spike Jonze
Herb Alpert and the Tijuana Brass Double Feature,Title,SHORT FILM (Animated),"John Hubley and Faith Hubley, Producers"
Here Comes Mr. Jordan,Writing,WRITING (Original Story),Harry Segall
Here Comes Mr. Jordan,Writing,WRITING (Screenplay),"Sidney Buchman, Seton I. Miller"
Here Comes the Groom,Music,MUSIC (Original Song),Music by Hoagy Carmichael; Lyrics by Johnny Mercer
Heureux Anniversaire (Happy Anniversary),Title,SHORT FILM (Live Action),"Pierre Etaix and J.C. Carrière, Producers"
High Noon,Acting,ACTOR,Gary Cooper
High Noon,Production,FILM EDITING,"Elmo Williams, Harry Gerstad"
High Noon,Music,MUSIC (Original Score),Dimitri Tiomkin
High Noon,Music,MUSIC (Original Song),Music by Dimitri Tiomkin; Lyrics by Ned Washington
Hitler Lives?,Title,DOCUMENTARY (Short Subject),"Gordon Hollingshead, Producer"
Holiday Inn,Music,MUSIC (Original Song),Music and Lyrics by Irving Berlin
Hotel Terminus: The Life and Times of Klaus Barbie,Title,DOCUMENTARY (Feature),"Marcel Ophuls, Producer"
How Green Was My Valley,Acting,ACTOR IN A SUPPORTING ROLE,Donald Crisp
How Green Was My Valley,Production,ART DIRECTION (Black-and-White),"Art Direction: Richard Day, Nathan Juran; Interior Decoration: Thomas Little"
How Green Was My Valley,Production,CINEMATOGRAPHY (Black-and-White),Arthur Miller
How Green Was My Valley,Directing,DIRECTING,John Ford
How Green Was My Valley,Title,BEST PICTURE,20th Century-Fox
How the West Was Won,Production,FILM EDITING,Harold F. Kress
How the West Was Won,Production,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
How the West Was Won,Writing,WRITING (Original Screenplay),James R. Webb
How to Sleep,Title,SHORT SUBJECT (Comedy),"Jack Chertok, Producer"
Howards End,Acting,ACTRESS IN A LEADING ROLE,Emma Thompson
Howards End,Production,ART DIRECTION,Art Direction: Luciana Arrighi; Set Decoration: Ian Whittaker
Howards End,Writing,WRITING (Adapted Screenplay),Ruth Prawer Jhabvala
Hud,Acting,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas
Hud,Acting,ACTRESS,Patricia Neal
Hud,Production,CINEMATOGRAPHY (Black-and-White),James Wong Howe
Hugo,Production,ART DIRECTION,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
Hugo,Production,CINEMATOGRAPHY,Robert Richardson
Hugo,Production,SOUND EDITING,Philip Stockton and Eugene Gearty
Hugo,Production,SOUND MIXING,Tom Fleischman and John Midgley
Hugo,Production,VISUAL EFFECTS,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning"
Hustle & Flow,Music,MUSIC (Original Song),"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard"
I Am a Promise: The Children of Stanton Elementary School,Title,DOCUMENTARY (Feature),"Susan Raymond, Alan Raymond"
I Want to Live!,Acting,ACTRESS,Susan Hayward
I Wanted Wings,Production,VISUAL EFFECTS,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop"
I Won't Play,Title,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer"
I'll Cry Tomorrow,Production,COSTUME DESIGN (Black-and-White),Helen Rose
I'll Find a Way,Title,SHORT FILM (Live Action),"Beverly Shaffer and Yuki Yoshida, Producers"
"I, Tonya",Acting,ACTRESS IN A SUPPORTING ROLE,Allison Janney
Icarus,Title,DOCUMENTARY (Feature),Bryan Fogel and Dan Cogan
Ida,Title,INTERNATIONAL FEATURE FILM,Poland
If Anything Happens I Love You,Title,SHORT FILM (Animated),Will McCormack and Michael Govier
If Beale Street Could Talk,Acting,ACTRESS IN A SUPPORTING ROLE,Regina King
If You Love This Planet,Title,DOCUMENTARY (Short Subject),"Edward Le Lorrain and Terri Nash, Producers"
In Beaver Valley,Title,SHORT SUBJECT (Two-reel),"Walt Disney, Producer"
In Old Arizona,Acting,ACTOR,Warner Baxter
In Old Chicago,Acting,ACTRESS IN A SUPPORTING ROLE,Alice Brady
In Old Chicago,Directing,ASSISTANT DIRECTOR,Robert Webb
In a Better World,Title,INTERNATIONAL FEATURE FILM,Denmark
In the Heat of the Night,Acting,ACTOR,Rod Steiger
In the Heat of the Night,Production,FILM EDITING,Hal Ashby
In the Heat of the Night,Title,BEST PICTURE,"Walter Mirisch, Producer"
In the Heat of the Night,Production,SOUND,Samuel Goldwyn Studio Sound Department
In the Heat of the Night,Writing,WRITING (Adapted Screenplay),Stirling Silliphant
In the Region of Ice,Title,SHORT FILM (Live Action),"Andre Guttfreund and Peter Werner, Producers"
In the Shadow of the Stars,Title,DOCUMENTARY (Feature),"Allie Light and Irving Saraf, Producers"
Inception,Production,CINEMATOGRAPHY,Wally Pfister
Inception,Production,SOUND EDITING,Richard King
Inception,Production,SOUND MIXING,"Lora Hirschberg, Gary A. Rizzo and Ed Novick"
Inception,Production,VISUAL EFFECTS,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb"
Independence Day,Production,VISUAL EFFECTS,"Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil"
Indiana Jones and the Last Crusade,Production,SOUND EDITING,"Ben Burtt, Richard Hymns"
Indiana Jones and the Temple of Doom,Production,VISUAL EFFECTS,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs"
Indochine,Title,INTERNATIONAL FEATURE FILM,France
Inglourious Basterds,Acting,ACTOR IN A SUPPORTING ROLE,Christoph Waltz
Innerspace,Production,VISUAL EFFECTS,"Dennis Muren, William George, Harley Jessup, Kenneth Smith"
Inocente,Title,DOCUMENTARY (Short Subject),Sean Fine and Andrea Nix Fine
Inside Job,Title,DOCUMENTARY (Feature),Charles Ferguson and Audrey Marrs
Inside Out,Title,ANIMATED FEATURE FILM,Pete Docter and Jonas Rivera
Interrupted Melody,Writing,WRITING (Original Screenplay),"William Ludwig, Sonya Levien"
Interstellar,Production,VISUAL EFFECTS,"Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher"
Interviews with My Lai Veterans,Title,DOCUMENTARY (Short Subject),"Joseph Strick, Producer"
Into the Arms of Strangers: Stories of the Kindertransport,Title,DOCUMENTARY (Feature),"Mark Jonathan Harris, Deborah Oppenheimer"
Investigation of a Citizen above Suspicion,Title,INTERNATIONAL FEATURE FILM,Italy
Iris,Acting,ACTOR IN A SUPPORTING ROLE,Jim Broadbent
Irma La Douce,Music,MUSIC (Original Song Score or Adaptation Score),Andre Previn
Is It Always Right to Be Right?,Title,SHORT FILM (Animated),"Nick Bosustow, Producer"
It Happened One Night,Acting,ACTOR,Clark Gable
It Happened One Night,Acting,ACTRESS,Claudette Colbert
It Happened One Night,Directing,DIRECTING,Frank Capra
It Happened One Night,Title,BEST PICTURE,Columbia
It Happened One Night,Writing,WRITING (Adapted Screenplay),Robert Riskin
It's Tough to Be a Bird,Title,SHORT FILM (Animated),"Ward Kimball, Producer"
"It's a Mad, Mad, Mad, Mad World",Production,SOUND EDITING,Walter G. Elliott
JFK,Production,CINEMATOGRAPHY,Robert Richardson
JFK,Production,FILM EDITING,"Joe Hutshing, Pietro Scalia"
Jacques-Yves Cousteau's World without Sun,Title,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer"
Jaws,Production,FILM EDITING,Verna Fields
Jaws,Music,MUSIC (Original Score),John Williams
Jaws,Production,SOUND,"Robert L. Hoyt, Roger Heman, Earl Madery, John Carter"
Jerry Maguire,Acting,ACTOR IN A SUPPORTING ROLE,"Cuba Gooding, Jr."
Jezebel,Acting,ACTRESS,Bette Davis
Jezebel,Acting,ACTRESS IN A SUPPORTING ROLE,Fay Bainter
Joan of Arc,Production,CINEMATOGRAPHY (Color),"Joseph Valentine, William V. Skall, Winton Hoch"
Joan of Arc,Production,COSTUME DESIGN (Color),"Dorothy Jeakins, Karinska"
Johann Mouse,Title,SHORT FILM (Animated),"Fred Quimby, Producer"
Johnny Belinda,Acting,ACTRESS,Jane Wyman
Johnny Eager,Acting,ACTOR IN A SUPPORTING ROLE,Van Heflin
Jojo Rabbit,Writing,WRITING (Adapted Screenplay),Screenplay by Taika Waititi
Joker,Acting,ACTOR IN A LEADING ROLE,Joaquin Phoenix
Joker,Music,MUSIC (Original Score),Hildur Guðnadóttir
Journey into Self,Title,DOCUMENTARY (Feature),"Bill McGaw, Producer"
Journey of Hope,Title,INTERNATIONAL FEATURE FILM,Switzerland
Judas and the Black Messiah,Acting,ACTOR IN A SUPPORTING ROLE,Daniel Kaluuya
Judas and the Black Messiah,Music,MUSIC (Original Song),Music by H.E.R. and Dernst Emile II; Lyric by H.E.R. and Tiara Thomas
Judgment at Nuremberg,Acting,ACTOR,Maximilian Schell
Judgment at Nuremberg,Writing,WRITING (Adapted Screenplay),Abby Mann
Judy,Acting,ACTRESS IN A LEADING ROLE,Renée Zellweger
Julia,Acting,ACTOR IN A SUPPORTING ROLE,Jason Robards
Julia,Acting,ACTRESS IN A SUPPORTING ROLE,Vanessa Redgrave
Julia,Writing,WRITING (Adapted Screenplay),Alvin Sargent
Julius Caesar,Production,ART DIRECTION (Black-and-White),"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Hugh Hunt"
Juno,Writing,WRITING (Original Screenplay),Written by Diablo Cody
Jurassic Park,Production,SOUND,"Gary Summers, Gary Rydstrom, Shawn Murphy, Ron Judkins"
Jurassic Park,Production,SOUND EDITING,"Gary Rydstrom, Richard Hymns"
Jurassic Park,Production,VISUAL EFFECTS,"Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri"
Just Another Missing Kid,Title,DOCUMENTARY (Feature),"John Zaritsky, Producer"
Karl Hess: Toward Liberty,Title,DOCUMENTARY (Short Subject),"Roland Hallé and Peter W. Ladue, Producers"
Kentucky,Acting,ACTOR IN A SUPPORTING ROLE,Walter Brennan
Key Largo,Acting,ACTRESS IN A SUPPORTING ROLE,Claire Trevor
King Gimp,Title,DOCUMENTARY (Short Subject),"Susan Hannah Hadary, William A. Whiteford"
King Kong,Special,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Carlo Rambaldi, Glen Robinson, Frank Van der Veer"
King Kong,Production,SOUND EDITING,Mike Hopkins and Ethan Van der Ryn
King Kong,Production,SOUND MIXING,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek"
King Kong,Production,VISUAL EFFECTS,"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor"
King Richard,Acting,ACTOR IN A LEADING ROLE,Will Smith
King Solomon's Mines,Production,CINEMATOGRAPHY (Color),Robert Surtees
King Solomon's Mines,Production,FILM EDITING,"Ralph E. Winters, Conrad A. Nervig"
King of Jazz,Production,ART DIRECTION,Herman Rosse
Kiss of the Spider Woman,Acting,ACTOR IN A LEADING ROLE,William Hurt
Kitty Foyle,Acting,ACTRESS,Ginger Rogers
Klute,Acting,ACTRESS,Jane Fonda
Knighty Knight Bugs,Title,SHORT FILM (Animated),"John W. Burton, Producer"
Kokoda Front Line!,Title,DOCUMENTARY (Feature),Australian News & Information Bureau
Kolya,Title,INTERNATIONAL FEATURE FILM,Czech Republic
Kon-Tiki,Title,DOCUMENTARY (Feature),"Olle Nordemar, Producer"
Krakatoa,Title,SHORT SUBJECT (Novelty),"Joe Rock, Producer"
Kramer vs. Kramer,Acting,ACTOR IN A LEADING ROLE,Dustin Hoffman
Kramer vs. Kramer,Acting,ACTRESS IN A SUPPORTING ROLE,Meryl Streep
Kramer vs. Kramer,Directing,DIRECTING,Robert Benton
Kramer vs. Kramer,Title,BEST PICTURE,"Stanley R. Jaffe, Producer"
Kramer vs. Kramer,Writing,WRITING (Adapted Screenplay),Robert Benton
Kukan,Special,SPECIAL AWARD,NA
L.A. Confidential,Acting,ACTRESS IN A SUPPORTING ROLE,Kim Basinger
L.A. Confidential,Writing,WRITING (Adapted Screenplay),"Brian Helgeland, Curtis Hanson"
La Cucaracha,Title,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer"
La Dolce Vita,Production,COSTUME DESIGN (Black-and-White),Piero Gherardi
La La Land,Acting,ACTRESS IN A LEADING ROLE,Emma Stone
La La Land,Production,CINEMATOGRAPHY,Linus Sandgren
La La Land,Directing,DIRECTING,Damien Chazelle
La La Land,Music,MUSIC (Original Score),Justin Hurwitz
La La Land,Music,MUSIC (Original Song),Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul
La La Land,Production,PRODUCTION DESIGN,Production Design: David Wasco; Set Decoration: Sandy Reynolds-Wasco
La Maison en Petits Cubes,Title,SHORT FILM (Animated),Kunio Kato
La Strada,Title,INTERNATIONAL FEATURE FILM,"Italy; Dino De Laurentiis and Carlo Ponti, Producers"
La Vie en Rose,Acting,ACTRESS IN A LEADING ROLE,Marion Cotillard
La Vie en Rose,Production,MAKEUP AND HAIRSTYLING,Didier Lavergne and Jan Archibald
Lady Be Good,Music,MUSIC (Original Song),Music by Jerome Kern; Lyrics by Oscar Hammerstein II
Laura,Production,CINEMATOGRAPHY (Black-and-White),Joseph LaShelle
Lawrence of Arabia,Production,ART DIRECTION (Color),"Art Direction: John Box, John Stoll; Set Decoration: Dario Simoni"
Lawrence of Arabia,Production,CINEMATOGRAPHY (Color),Fred A. Young
Lawrence of Arabia,Directing,DIRECTING,David Lean
Lawrence of Arabia,Production,FILM EDITING,Anne Coates
Lawrence of Arabia,Music,MUSIC (Original Score),Maurice Jarre
Lawrence of Arabia,Title,BEST PICTURE,"Sam Spiegel, Producer"
Lawrence of Arabia,Production,SOUND,"Shepperton Studio Sound Department, John Cox, Sound Director"
Le Ciel et la Boue (Sky Above and Mud Beneath),Title,DOCUMENTARY (Feature),"Arthur Cohn and Rene Lafuite, Producers"
Le Mozart des Pickpockets (The Mozart of Pickpockets),Title,SHORT FILM (Live Action),Philippe Pollet-Villard
Learning to Skateboard in a Warzone (If You're a Girl),Title,DOCUMENTARY (Short Subject),Carol Dysinger and Elena Andreicheva
Leave Her to Heaven,Production,CINEMATOGRAPHY (Color),Leon Shamroy
Leaving Las Vegas,Acting,ACTOR IN A LEADING ROLE,Nicolas Cage
Legends of the Fall,Production,CINEMATOGRAPHY,John Toll
Leisure,Title,SHORT FILM (Animated),"Suzanne Baker, Producer"
Lemony Snicket's A Series of Unfortunate Events,Production,MAKEUP AND HAIRSTYLING,Valli O'Reilly and Bill Corso
Lend a Paw,Title,SHORT FILM (Animated),"Walt Disney, Producer"
Les Girls,Production,COSTUME DESIGN,Orry-Kelly
Les Misérables,Acting,ACTRESS IN A SUPPORTING ROLE,Anne Hathaway
Les Misérables,Production,MAKEUP AND HAIRSTYLING,Lisa Westcott and Julie Dartnell
Les Misérables,Production,SOUND MIXING,"Andy Nelson, Mark Paterson and Simon Hayes"
Let It Be,Music,MUSIC (Original Song Score or Adaptation Score),Music and lyrics by The Beatles
Letters from Iwo Jima,Production,SOUND EDITING,Alan Robert Murray and Bub Asman
Lieberman in Love,Title,SHORT FILM (Live Action),"Christine Lahti, Jana Sue Memel"
Life Is Beautiful,Acting,ACTOR IN A LEADING ROLE,Roberto Benigni
Life Is Beautiful,Title,INTERNATIONAL FEATURE FILM,Italy
Life Is Beautiful,Music,MUSIC (Original Score),Nicola Piovani
Life of Pi,Production,CINEMATOGRAPHY,Claudio Miranda
Life of Pi,Directing,DIRECTING,Ang Lee
Life of Pi,Music,MUSIC (Original Score),Mychael Danna
Life of Pi,Production,VISUAL EFFECTS,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott"
Light in the Window: The Art of Vermeer,Title,SHORT SUBJECT (One-reel),"Boris Vermont, Producer"
Lili,Music,MUSIC (Original Score),Bronislau Kaper
Lilies of the Field,Acting,ACTOR,Sidney Poitier
Limelight,Music,MUSIC (Original Score),"Charles Chaplin, Raymond Rasch, Larry Russell"
Lincoln,Acting,ACTOR IN A LEADING ROLE,Daniel Day-Lewis
Lincoln,Production,PRODUCTION DESIGN,Production Design: Rick Carter; Set Decoration: Jim Erickson
Little Miss Sunshine,Acting,ACTOR IN A SUPPORTING ROLE,Alan Arkin
Little Miss Sunshine,Writing,WRITING (Original Screenplay),Written by Michael Arndt
Little Women,Writing,WRITING (Adapted Screenplay),"Victor Heerman, Sarah Y. Mason"
Little Women,Production,ART DIRECTION (Color),"Art Direction: Cedric Gibbons, Paul Groesse; Set Decoration: Edwin B. Willis, Jack D. Moore"
Little Women,Production,COSTUME DESIGN,Jacqueline Durran
Logan's Run,Special,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"L. B. Abbott, Glen Robinson, Matthew Yuricich"
Logorama,Title,SHORT FILM (Animated),Nicolas Schmerkin
Lost Horizon,Production,ART DIRECTION,Stephen Goosson
Lost Horizon,Production,FILM EDITING,"Gene Havlick, Gene Milford"
Lost in Translation,Writing,WRITING (Original Screenplay),Written by Sofia Coppola
Love Is a Many-Splendored Thing,Production,COSTUME DESIGN (Color),Charles LeMaire
Love Is a Many-Splendored Thing,Music,MUSIC (Original Score),Alfred Newman
Love Is a Many-Splendored Thing,Music,MUSIC (Original Song),Music by Sammy Fain; Lyrics by Paul Francis Webster
Love Me or Leave Me,Writing,WRITING (Original Story),Daniel Fuchs
Love Story,Music,MUSIC (Original Score),Francis Lai
Lovers and Other Strangers,Music,MUSIC (Original Song),Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James)
Lust for Life,Acting,ACTOR IN A SUPPORTING ROLE,Anthony Quinn
M*A*S*H,Writing,WRITING (Adapted Screenplay),"Ring Lardner, Jr."
Ma Rainey's Black Bottom,Production,COSTUME DESIGN,Ann Roth
Ma Rainey's Black Bottom,Production,MAKEUP AND HAIRSTYLING,"Sergio Lopez-Rivera, Mia Neal and Jamika Wilson"
Mad Max: Fury Road,Production,COSTUME DESIGN,Jenny Beavan
Mad Max: Fury Road,Production,FILM EDITING,Margaret Sixel
Mad Max: Fury Road,Production,MAKEUP AND HAIRSTYLING,"Lesley Vanderwalt, Elka Wardega and Damian Martin"
Mad Max: Fury Road,Production,PRODUCTION DESIGN,Production Design: Colin Gibson; Set Decoration: Lisa Thompson
Mad Max: Fury Road,Production,SOUND EDITING,Mark Mangini and David White
Mad Max: Fury Road,Production,SOUND MIXING,"Chris Jenkins, Gregg Rudloff and Ben Osmo"
Madame Rosa,Title,INTERNATIONAL FEATURE FILM,France
Main Street on the March!,Title,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer
Man on Wire,Title,DOCUMENTARY (Feature),James Marsh and Simon Chinn
Manchester by the Sea,Acting,ACTOR IN A LEADING ROLE,Casey Affleck
Manchester by the Sea,Writing,WRITING (Original Screenplay),Written by Kenneth Lonergan
Manhattan Melodrama,Writing,WRITING (Original Story),Arthur Caesar
Manipulation,Title,SHORT FILM (Animated),Daniel Greaves
Mank,Production,CINEMATOGRAPHY,Erik Messerschmidt
Mank,Production,PRODUCTION DESIGN,Production Design: Donald Graham Burt; Set Decoration: Jan Pascale
March of the Penguins,Title,DOCUMENTARY (Feature),Luc Jacquet and Yves Darondeau
Marie Antoinette,Production,COSTUME DESIGN,Milena Canonero
Marie-Louise,Writing,WRITING (Original Screenplay),Richard Schweizer
Marjoe,Title,DOCUMENTARY (Feature),"Howard Smith and Sarah Kernochan, Producers"
Marooned,Production,VISUAL EFFECTS,Robbie Robertson
Marriage Story,Acting,ACTRESS IN A SUPPORTING ROLE,Laura Dern
Marty,Acting,ACTOR,Ernest Borgnine
Marty,Directing,DIRECTING,Delbert Mann
Marty,Title,BEST PICTURE,"Harold Hecht, Producer"
Marty,Writing,WRITING (Screenplay),Paddy Chayefsky
Mary Poppins,Acting,ACTRESS,Julie Andrews
Mary Poppins,Production,FILM EDITING,Cotton Warburton
Mary Poppins,Music,MUSIC (Original Score),"Richard M. Sherman, Robert B. Sherman"
Mary Poppins,Music,MUSIC (Original Song),Music and Lyrics by Richard M. Sherman and Robert B. Sherman
